hour,cluster_name,avg_kwh
0,Daytime Active,0.11514999679540096
1,Daytime Active,0.10236599718168696
2,Daytime Active,0.09841966562710472
3,Daytime Active,0.09762148854607738
4,Daytime Active,0.10317265569805634
5,Daytime Active,0.1271577872772084
6,Daytime Active,0.17808286496380954
7,Daytime Active,0.2337623288105916
8,Daytime Active,0.25621112422481773
9,Daytime Active,0.2501303668946009
10,Daytime Active,0.24395590628483207
11,Daytime Active,0.245547882400955
12,Daytime Active,0.24148607973573044
13,Daytime Active,0.23165531183097263
14,Daytime Active,0.23096889526793865
15,Daytime Active,0.25118624286289915
16,Daytime Active,0.2733068734760642
17,Daytime Active,0.2700022794224755
18,Daytime Active,0.2598168505269886
19,Daytime Active,0.25293655360817463
20,Daytime Active,0.23947404138605888
21,Daytime Active,0.21517038867584354
22,Daytime Active,0.17716826014532722
23,Daytime Active,0.1419717896493169
0,Evening Peak,0.1436694080437897
1,Evening Peak,0.12090690545549904
2,Evening Peak,0.11016229045874978
3,Evening Peak,0.10642266933518123
4,Evening Peak,0.11054104977338752
5,Evening Peak,0.13031092147935158
6,Evening Peak,0.16715544620847272
7,Evening Peak,0.198346961463457
8,Evening Peak,0.20776088906797674
9,Evening Peak,0.20848098887807817
10,Evening Peak,0.2082332838104675
11,Evening Peak,0.20995318489011297
12,Evening Peak,0.2123359870341956
13,Evening Peak,0.2097331478770095
14,Evening Peak,0.20891778975563893
15,Evening Peak,0.22236166046434563
16,Evening Peak,0.2612531316079759
17,Evening Peak,0.31182874855122195
18,Evening Peak,0.3406058827083949
19,Evening Peak,0.34060812466610474
20,Evening Peak,0.3266759062750154
21,Evening Peak,0.29693289657413685
22,Evening Peak,0.24431959766760863
23,Evening Peak,0.18839360283333753
0,Night Owl,0.651974130460453
1,Night Owl,0.48771048134766004
2,Night Owl,0.3889851330760976
3,Night Owl,0.3352452482083232
4,Night Owl,0.338041197664709
5,Night Owl,0.37783143762188265
6,Night Owl,0.3683754822007665
7,Night Owl,0.24981648008113722
8,Night Owl,0.2181393096984152
9,Night Owl,0.2012581342915002
10,Night Owl,0.1954369653544586
11,Night Owl,0.1992042238280055
12,Night Owl,0.1999280123067802
13,Night Owl,0.19026135280279982
14,Night Owl,0.1908057728603831
15,Night Owl,0.20352094866616685
16,Night Owl,0.2337212804577809
17,Night Owl,0.26879531233662146
18,Night Owl,0.2794018500332819
19,Night Owl,0.2781242824020453
20,Night Owl,0.2703053944357284
21,Night Owl,0.2466221661713423
22,Night Owl,0.20885119388291373
23,Night Owl,0.3586707263569965
