meter_id,total_kwh,peak_kwh,peak_ratio,cluster_name,cooling_load,base_load,policy_level
MAC000002,6101.1380007,2251.9199997,0.36909835500223587,Evening Peak,784.0472968172,6112.0294567042,Level 2 - TOU Pricing
MAC000003,14104.4330027,1610.798,0.11420508713052459,Night Owl,3506.983196499727,14134.981874652998,Level 1 - Communication
MAC000004,1120.7880001,279.863,0.2497019953595415,Daytime Active,61.69679395267177,1122.4413436122138,Level 1 - Communication
MAC000005,2911.8080003,1280.841,0.4398782474215458,Evening Peak,318.12722826323295,2919.593781601902,Level 2 - TOU Pricing
MAC000006,2168.325,721.569,0.3327771436477465,Daytime Active,220.3011006622518,2167.6981721854304,Level 1 - Communication
MAC000007,4954.0169994,1924.5289988,0.38847848100502824,Evening Peak,557.2701738774567,4962.20843870289,Level 2 - TOU Pricing
MAC000008,9445.0070001,2925.1730006,0.3097057525281907,Evening Peak,1053.43299436108,9445.152402335569,Level 1 - Communication
MAC000009,4514.9710005,1382.028,0.3060989760171108,Daytime Active,338.80539201988535,4519.278352319311,Level 1 - Communication
MAC000010,13786.2769971,5444.4409973,0.39491742393143997,Evening Peak,1106.2976188558762,13806.072239656649,Level 3 - Demand Response
MAC000011,7450.1410005,2941.7690011,0.39486084906347,Evening Peak,875.1513889769858,7461.4846603808555,Level 2 - TOU Pricing
MAC000012,1086.8299998,362.9389999,0.3339427509056509,Evening Peak,391.06486676712325,1088.4236671178082,Level 1 - Communication
MAC000013,3259.806,1163.958,0.35706357985720627,Evening Peak,310.52718627450986,3262.1173104575164,Level 2 - TOU Pricing
MAC000014,3132.6709991,834.815,0.26648664996734034,Daytime Active,300.1625114945785,3137.265017166867,Level 1 - Communication
MAC000015,8957.7139998,3002.4559982,0.3351810515793467,Evening Peak,1431.0551996799998,8963.84994424321,Level 1 - Communication
MAC000016,533.968,178.372,0.33404998052317747,Daytime Active,268.18776790123457,536.2883234567902,Level 1 - Communication
MAC000017,5202.0720006,1955.3580002,0.37588061064408024,Evening Peak,643.0342596148147,5202.979117887655,Level 2 - TOU Pricing
MAC000018,8748.4469997,2717.153,0.3105868961763357,Evening Peak,1113.7923595238567,8749.24428647194,Level 1 - Communication
MAC000019,5061.8680005,1665.3250001,0.3289941578752158,Daytime Active,755.9916218585907,5059.2243169431395,Level 1 - Communication
MAC000020,5344.0300004,2106.4830003,0.3941749953017349,Evening Peak,722.7632323002472,5350.11109063733,Level 2 - TOU Pricing
MAC000021,18323.1780008,5329.0760001,0.29083797580678034,Evening Peak,1821.9348517657593,18382.983590421758,Level 1 - Communication
MAC000022,10216.1089994,3365.6849995000002,0.32944881458270164,Evening Peak,2479.8066079821997,10252.986029062547,Level 1 - Communication
MAC000023,11668.2029996,4478.6940021,0.3838375114191564,Evening Peak,1928.1989471279362,11704.238355491965,Level 3 - Demand Response
MAC000024,16944.2629942,4239.1310021,0.2501809021467059,Night Owl,4338.2949182210405,17009.858671144306,Level 1 - Communication
MAC000025,3879.5180002,626.0639999,0.16137674831453924,Daytime Active,325.5863806014833,3878.3729297438813,Level 1 - Communication
MAC000026,10141.9070011,2805.2080003,0.2765957132120956,Daytime Active,1837.42756557466,10159.515889757726,Level 1 - Communication
MAC000027,7292.6260001,2091.5409999,0.28680217522073936,Evening Peak,641.1671694002475,7291.403490829913,Level 1 - Communication
MAC000028,3221.8229999,980.351,0.30428456188636943,Evening Peak,574.2210451792481,3231.7676690721805,Level 1 - Communication
MAC000029,2764.475001,744.5670002,0.26933396031096907,Daytime Active,374.347985857602,2759.331209805439,Level 1 - Communication
MAC000030,9277.9650007,3541.9570005,0.38176011660237646,Evening Peak,2143.8154513913473,9298.405513683314,Level 3 - Demand Response
MAC000031,16295.1879975,6230.8619994,0.38237435495410893,Evening Peak,2792.333349447837,16348.04496421063,Level 3 - Demand Response
MAC000032,10452.4279967,734.8669999,0.07030586578850477,Night Owl,2616.790926473424,10490.27054807812,Level 1 - Communication
MAC000033,6162.7610001,2169.5310003,0.352038802131836,Evening Peak,494.99629300964153,6164.006447566626,Level 2 - TOU Pricing
MAC000034,22145.1379952,1825.7069998,0.08244279174036871,Night Owl,7641.661744126081,22249.21795314314,Level 1 - Communication
MAC000035,18473.7959974,6002.4889992,0.32491909080541914,Daytime Active,3373.609356175743,18498.297665298265,Level 1 - Communication
MAC000036,2173.041,794.755,0.36573401054098836,Evening Peak,109.59424227441285,2169.717503090235,Level 2 - TOU Pricing
MAC000037,65.303,0.696,0.010658009586083334,Daytime Active,56.231427688504326,64.58773053152039,Level 1 - Communication
MAC000038,9260.3959973,3379.8239989,0.36497618459139713,Evening Peak,1527.7023801875,9279.3042893625,Level 3 - Demand Response
MAC000039,7387.8710024,2792.7770013,0.378021895670992,Evening Peak,1073.7860616762373,7392.1330754346545,Level 2 - TOU Pricing
MAC000040,21690.3530017,6598.6900015,0.3042223425770351,Evening Peak,2849.3151988613854,21693.95012918577,Level 1 - Communication
MAC000041,6854.7980004,2832.1410005,0.413161846685305,Evening Peak,1175.8563243777228,6870.153869214356,Level 2 - TOU Pricing
MAC000042,7553.3219994,2993.504999,0.396316349182226,Evening Peak,928.8374451772274,7554.905130584407,Level 2 - TOU Pricing
MAC000043,2878.603,965.454,0.3353897706630612,Evening Peak,498.8238314745973,2882.9491499380424,Level 1 - Communication
MAC000044,11555.6699993,3719.8080008,0.3219032735466946,Evening Peak,1479.6577574280936,11588.232340879827,Level 1 - Communication
MAC000045,16843.9980024,4145.6700002,0.24612149678534206,Daytime Active,2169.901494367326,16851.02484182562,Level 1 - Communication
MAC000046,10739.224999,3721.2999996,0.3465147624662408,Evening Peak,1142.1573685363865,10742.613734142325,Level 1 - Communication
MAC000047,4318.94,1296.189,0.3001173899151181,Evening Peak,419.42652970297064,4316.49571410891,Level 1 - Communication
MAC000048,5448.6070009,1440.167,0.2643183844535151,Daytime Active,1011.5255892569309,5446.398687786757,Level 1 - Communication
MAC000049,30104.0749991,11633.0099991,0.3864264223181674,Daytime Active,2692.9360700898505,30136.03949538156,Level 3 - Demand Response
MAC000050,11621.631997,5895.1519992,0.507256812186255,Evening Peak,1364.6141522307692,11640.432223708502,Level 3 - Demand Response
MAC000051,12586.950001,4024.9270013,0.31976984106397743,Daytime Active,1552.4230346801735,12599.713443485998,Level 1 - Communication
MAC000052,5602.4069989,2763.1019993,0.4931990838656526,Evening Peak,1566.795504120792,5614.830552111015,Level 2 - TOU Pricing
MAC000053,6718.072999,2772.0739996,0.4126293358248161,Evening Peak,789.2736018530355,6720.308207172244,Level 2 - TOU Pricing
MAC000054,7758.9229999,2934.3149999,0.37818586418989064,Evening Peak,413.19475335650577,7749.79239642974,Level 2 - TOU Pricing
MAC000055,10338.6809979,3527.8500004,0.34122824769586946,Evening Peak,1303.778827557621,10341.450882645353,Level 1 - Communication
MAC000056,4959.9880001,1753.1569999,0.35345992769834406,Evening Peak,532.2629182620814,4959.128505676828,Level 2 - TOU Pricing
MAC000057,8717.006998500001,2562.0129991,0.2939097100118038,Evening Peak,1547.4052110018588,8723.312979903345,Level 1 - Communication
MAC000058,2743.987,1123.776,0.4095412988472613,Evening Peak,252.55713523573203,2743.6019317617865,Level 2 - TOU Pricing
MAC000059,14252.9320008,4770.2380002,0.33468468101386106,Daytime Active,768.7679565686494,14248.65401805254,Level 1 - Communication
MAC000060,8700.1380007,4255.5050002,0.4891307471051158,Evening Peak,971.7396917132589,8712.796223752664,Level 3 - Demand Response
MAC000061,4741.968,1926.821,0.406333615072898,Evening Peak,416.23778314745965,4743.63356629492,Level 2 - TOU Pricing
MAC000062,9479.7479998,3007.0409998,0.31720684978793123,Evening Peak,570.5303271260217,9480.908981211402,Level 1 - Communication
MAC000063,8372.4850006,3516.4400001,0.4199995580580915,Evening Peak,1109.8787157809234,8386.584731373845,Level 3 - Demand Response
MAC000064,10805.3359977,3761.778999,0.348140862977396,Evening Peak,1956.9647497412636,10812.949197391326,Level 1 - Communication
MAC000065,4302.0190007,1901.1679994,0.4419245937990169,Evening Peak,1030.7229813236522,4306.319585050261,Level 2 - TOU Pricing
MAC000066,5499.457,1564.9629998,0.28456682174258296,Evening Peak,1067.5053159851302,5514.247727385378,Level 1 - Communication
MAC000067,5776.6269998,1892.7409999,0.32765504851975574,Evening Peak,622.3018512027262,5781.083806490211,Level 1 - Communication
MAC000068,15697.0269992,5900.918,0.37592583616634795,Evening Peak,1016.1639215058233,15714.530348637425,Level 3 - Demand Response
MAC000069,6427.028999800001,1863.9689996,0.2900203188219633,Evening Peak,1475.7000147467165,6432.208193107311,Level 1 - Communication
MAC000070,3474.064,1301.7019999,0.3746914276478499,Daytime Active,302.86790942928036,3475.047460297767,Level 2 - TOU Pricing
MAC000071,9037.558005,4006.2170027,0.4432853432844993,Evening Peak,1171.0207888748023,9043.943818411506,Level 3 - Demand Response
MAC000072,3590.0830002,1615.9060001,0.4501026856509946,Evening Peak,684.7629479044665,3595.044268191315,Level 2 - TOU Pricing
MAC000073,3259.4529999,1117.9330003,0.3429817826286491,Evening Peak,768.879395721464,3261.376127690943,Level 1 - Communication
MAC000074,11073.1199992,4515.478,0.407787326455979,Evening Peak,873.035836063523,11097.978568774566,Level 3 - Demand Response
MAC000075,4214.2690003,1369.972,0.3250793909696975,Evening Peak,713.4376056607939,4211.975791865137,Level 1 - Communication
MAC000076,15035.0229966,6211.0019979,0.4131022612539101,Evening Peak,1283.396575542804,15044.268342632135,Level 3 - Demand Response
MAC000077,4746.421,1874.05,0.3948343393896159,Evening Peak,353.6766091811414,4743.988772952854,Level 2 - TOU Pricing
MAC000078,3975.4050002,1632.8160002,0.41072947287580863,Evening Peak,1059.056762044913,3983.9801465026057,Level 2 - TOU Pricing
